medal_type,medal_code,medal_date,athlete_name,event,country,discipline
Gold Medal,1,00:00.0,RENDSCHMIDT Max,Men's Kayak Four 500m,Germany,Canoe Sprint
Silver Medal,2,00:00.0,AREVALO Carlos,Men's Kayak Four 500m,Spain,Canoe Sprint
Silver Medal,2,00:00.0,CRAVIOTTO Saul,Men's Kayak Four 500m,Spain,Canoe Sprint
Silver Medal,2,00:00.0,GERMADE Rodrigo,Men's Kayak Four 500m,Spain,Canoe Sprint
Silver Medal,2,00:00.0,WALZ Marcus,Men's Kayak Four 500m,Spain,Canoe Sprint
Bronze Medal,3,00:00.0,BALAZ Samuel,Men's Kayak Four 500m,Slovakia,Canoe Sprint
Bronze Medal,3,00:00.0,BOTEK Adam,Men's Kayak Four 500m,Slovakia,Canoe Sprint
Bronze Medal,3,00:00.0,MYSAK Denis,Men's Kayak Four 500m,Slovakia,Canoe Sprint
Bronze Medal,3,00:00.0,VLCEK Erik,Men's Kayak Four 500m,Slovakia,Canoe Sprint
Gold Medal,1,00:00.0,SUN Mengya,Women's Canoe Double 500m,People's Republic of China,Canoe Sprint
Gold Medal,1,00:00.0,XU Shixiao,Women's Canoe Double 500m,People's Republic of China,Canoe Sprint
Silver Medal,2,00:00.0,LUZAN Liudmyla,Women's Canoe Double 500m,Ukraine,Canoe Sprint
Silver Medal,2,00:00.0,CHETVERIKOVA Anastasiia,Women's Canoe Double 500m,Ukraine,Canoe Sprint
Bronze Medal,3,00:00.0,VINCENT-LAPOINTE Laurence,Women's Canoe Double 500m,Canada,Canoe Sprint
Bronze Medal,3,00:00.0,VINCENT Katie,Women's Canoe Double 500m,Canada,Canoe Sprint
Gold Medal,1,00:00.0,BODONYI Dora,Women's Kayak Four 500m,Hungary,Canoe Sprint
Gold Medal,1,00:00.0,KOZAK Danuta,Women's Kayak Four 500m,Hungary,Canoe Sprint
Gold Medal,1,00:00.0,CSIPES Tamara,Women's Kayak Four 500m,Hungary,Canoe Sprint
Gold Medal,1,00:00.0,KARASZ Anna,Women's Kayak Four 500m,Hungary,Canoe Sprint
Silver Medal,2,00:00.0,LITVINCHUK Maryna,Women's Kayak Four 500m,Belarus,Canoe Sprint
Silver Medal,2,00:00.0,MAKHNEVA Marharyta,Women's Kayak Four 500m,Belarus,Canoe Sprint
Silver Medal,2,00:00.0,PAPOK Nadzeya,Women's Kayak Four 500m,Belarus,Canoe Sprint
Silver Medal,2,00:00.0,KHUDZENKA Volha,Women's Kayak Four 500m,Belarus,Canoe Sprint
Bronze Medal,3,00:00.0,NAJA Karolina,Women's Kayak Four 500m,Poland,Canoe Sprint
Bronze Medal,3,00:00.0,PULAWSKA Anna,Women's Kayak Four 500m,Poland,Canoe Sprint
Bronze Medal,3,00:00.0,ISKRZYCKA Justyna,Women's Kayak Four 500m,Poland,Canoe Sprint
Bronze Medal,3,00:00.0,WISNIEWSKA Helena,Women's Kayak Four 500m,Poland,Canoe Sprint
Gold Medal,1,00:00.0,HANSEN Lasse Norman,Men's Madison,Denmark,Cycling Track
Gold Medal,1,00:00.0,MORKOV Michael,Men's Madison,Denmark,Cycling Track
Silver Medal,2,00:00.0,WALLS Matthew,Men's Madison,Great Britain,Cycling Track
Silver Medal,2,00:00.0,HAYTER Ethan,Men's Madison,Great Britain,Cycling Track
Bronze Medal,3,00:00.0,GRONDIN Donavan,Men's Madison,France,Cycling Track
Bronze Medal,3,00:00.0,THOMAS Benjamin,Men's Madison,France,Cycling Track
Gold Medal,1,00:00.0,CAO Yuan,Men's 10m Platform,People's Republic of China,Diving
Silver Medal,2,00:00.0,YANG Jian,Men's 10m Platform,People's Republic of China,Diving
Bronze Medal,3,00:00.0,DALEY Thomas,Men's 10m Platform,Great Britain,Diving
Gold Medal,1,00:00.0,von ECKERMANN Henrik,Jumping Team,Sweden,Equestrian
Gold Medal,1,00:00.0,BARYARD-JOHNSSON Malin,Jumping Team,Sweden,Equestrian
Gold Medal,1,00:00.0,FREDRICSON Peder,Jumping Team,Sweden,Equestrian
Silver Medal,2,00:00.0,SPRINGSTEEN Jessica,Jumping Team,United States of America,Equestrian
Silver Medal,2,00:00.0,KRAUT Laura,Jumping Team,United States of America,Equestrian
Silver Medal,2,00:00.0,WARD McLain,Jumping Team,United States of America,Equestrian
Bronze Medal,3,00:00.0,DEVOS Pieter,Jumping Team,Belgium,Equestrian
Bronze Medal,3,00:00.0,GUERY Jerome,Jumping Team,Belgium,Equestrian
Bronze Medal,3,00:00.0,WATHELET Gregory,Jumping Team,Belgium,Equestrian
Gold Medal,1,00:00.0,CLAUDINHO,Men,Brazil,Football
Gold Medal,1,00:00.0,SANTOS,Men,Brazil,Football
Gold Medal,1,00:00.0,ANTONY,Men,Brazil,Football
Gold Medal,1,00:00.0,ABNER,Men,Brazil,Football
Gold Medal,1,00:00.0,BRENNO,Men,Brazil,Football
Gold Medal,1,00:00.0,FUCHS Bruno,Men,Brazil,Football
Gold Medal,1,00:00.0,GUIMARAES Bruno,Men,Brazil,Football
Gold Medal,1,00:00.0,DOUGLAS LUIZ,Men,Brazil,Football
Gold Medal,1,00:00.0,ALVES Dani,Men,Brazil,Football
Gold Medal,1,00:00.0,DIEGO CARLOS,Men,Brazil,Football
Gold Medal,1,00:00.0,ARANA Guilherme,Men,Brazil,Football
Gold Medal,1,00:00.0,MENINO Gabriel,Men,Brazil,Football
Gold Medal,1,00:00.0,MARTINELLI Gabriel,Men,Brazil,Football
Gold Medal,1,00:00.0,LUCAO,Men,Brazil,Football
Gold Medal,1,00:00.0,CUNHA Matheus,Men,Brazil,Football
Gold Medal,1,00:00.0,NINO,Men,Brazil,Football
Gold Medal,1,00:00.0,MALCOM,Men,Brazil,Football
Gold Medal,1,00:00.0,MATHEUS HENRIQUE,Men,Brazil,Football
Gold Medal,1,00:00.0,PAULINHO,Men,Brazil,Football
Gold Medal,1,00:00.0,RICHARLISON,Men,Brazil,Football
Gold Medal,1,00:00.0,REINIER,Men,Brazil,Football
Gold Medal,1,00:00.0,GRACA Ricardo,Men,Brazil,Football
Silver Medal,2,00:00.0,ZUBIMENDI Martin,Men,Spain,Football
Silver Medal,2,00:00.0,GIL Oscar,Men,Spain,Football
Silver Medal,2,00:00.0,MINGUEZA Oscar,Men,Spain,Football
Silver Medal,2,00:00.0,ASENSIO Marco,Men,Spain,Football
Silver Medal,2,00:00.0,CEBALLOS Dani,Men,Spain,Football
Silver Medal,2,00:00.0,CUCURELLA Marc,Men,Spain,Football
Silver Medal,2,00:00.0,GIL Bryan,Men,Spain,Football
Silver Medal,2,00:00.0,GONZALEZ Pedri,Men,Spain,Football
Silver Medal,2,00:00.0,FERNANDEZ Alvaro,Men,Spain,Football
Silver Medal,2,00:00.0,TORRES Pau,Men,Spain,Football
Silver Medal,2,00:00.0,GARCIA Eric,Men,Spain,Football
Silver Medal,2,00:00.0,MERINO Mikel,Men,Spain,Football
Silver Medal,2,00:00.0,MIR Rafa,Men,Spain,Football
Silver Medal,2,00:00.0,MIRANDA Juan,Men,Spain,Football
Silver Medal,2,00:00.0,MONCAYOLA Jon,Men,Spain,Football
Silver Medal,2,00:00.0,OLMO Dani,Men,Spain,Football
Silver Medal,2,00:00.0,OYARZABAL Mikel,Men,Spain,Football
Silver Medal,2,00:00.0,PUADO Javier,Men,Spain,Football
Silver Medal,2,00:00.0,SIMON Unai,Men,Spain,Football
Silver Medal,2,00:00.0,SOLER Carlos,Men,Spain,Football
Silver Medal,2,00:00.0,VALLEJO Jesus,Men,Spain,Football
Silver Medal,2,00:00.0,VILLAR Ivan,Men,Spain,Football
Bronze Medal,3,00:00.0,MARTIN Henry,Men,Mexico,Football
Bronze Medal,3,00:00.0,MALAGON Luis,Men,Mexico,Football
Bronze Medal,3,00:00.0,ANGULO Ricardo,Men,Mexico,Football
Bronze Medal,3,00:00.0,BELTRAN Fernando,Men,Mexico,Football
Bronze Medal,3,00:00.0,AGUIRRE Eduardo,Men,Mexico,Football
Bronze Medal,3,00:00.0,AGUIRRE Erick,Men,Mexico,Football
Bronze Medal,3,00:00.0,ALVARADO Roberto,Men,Mexico,Football
Bronze Medal,3,00:00.0,ANGULO Jesus,Men,Mexico,Football
Bronze Medal,3,00:00.0,ANTUNA Uriel,Men,Mexico,Football
Bronze Medal,3,00:00.0,CORDOVA Sebastian,Men,Mexico,Football
Bronze Medal,3,00:00.0,ESQUIVEL Joaquin,Men,Mexico,Football
Bronze Medal,3,00:00.0,JURADO Sebastian,Men,Mexico,Football
Bronze Medal,3,00:00.0,LAINEZ Diego,Men,Mexico,Football
Bronze Medal,3,00:00.0,LORONA Vladimir,Men,Mexico,Football
Bronze Medal,3,00:00.0,MONTES Cesar,Men,Mexico,Football
Bronze Medal,3,00:00.0,MORA Adrian,Men,Mexico,Football
Bronze Medal,3,00:00.0,OCHOA Guillermo,Men,Mexico,Football
Bronze Medal,3,00:00.0,RODRIGUEZ Carlos,Men,Mexico,Football
Bronze Medal,3,00:00.0,ROMO Luis,Men,Mexico,Football
Bronze Medal,3,00:00.0,SANCHEZ Jorge,Men,Mexico,Football
Bronze Medal,3,00:00.0,VASQUEZ Johan,Men,Mexico,Football
Bronze Medal,3,00:00.0,VEGA Alexis,Men,Mexico,Football
Gold Medal,1,00:00.0,KORDA Nelly,Women's Individual Stroke Play,United States of America,Golf
Silver Medal,2,00:00.0,INAMI Mone,Women's Individual Stroke Play,Japan,Golf
Bronze Medal,3,00:00.0,KO Lydia,Women's Individual Stroke Play,New Zealand,Golf
Gold Medal,1,00:00.0,ABALO Luc,Men,France,Handball
Gold Medal,1,00:00.0,DESCAT Hugo,Men,France,Handball
Gold Medal,1,00:00.0,FABREGAS Ludovic,Men,France,Handball
Gold Medal,1,00:00.0,GENTY Yann,Men,France,Handball
Gold Medal,1,00:00.0,GERARD Vincent,Men,France,Handball
Gold Medal,1,00:00.0,GUIGOU Michael,Men,France,Handball
Gold Medal,1,00:00.0,KARABATIC Nikola,Men,France,Handball
Gold Medal,1,00:00.0,KARABATIC Luka,Men,France,Handball
Gold Medal,1,00:00.0,LAGARDE Romain,Men,France,Handball
Gold Medal,1,00:00.0,MAHE Kentin,Men,France,Handball
Gold Medal,1,00:00.0,MEM Dika,Men,France,Handball
Gold Medal,1,00:00.0,NGUESSAN Timothey,Men,France,Handball
Gold Medal,1,00:00.0,PORTE Valentin,Men,France,Handball
Gold Medal,1,00:00.0,REMILI Nedim,Men,France,Handball
Gold Medal,1,00:00.0,RICHARDSON Melvyn,Men,France,Handball
Gold Medal,1,00:00.0,TOURNAT Nicolas,Men,France,Handball
Silver Medal,2,00:00.0,ANDERSSON Lasse,Men,Denmark,Handball
Silver Medal,2,00:00.0,GIDSEL Mathias,Men,Denmark,Handball
Silver Medal,2,00:00.0,HANSEN Johan,Men,Denmark,Handball
Silver Medal,2,00:00.0,HOLM Jacob,Men,Denmark,Handball
Silver Medal,2,00:00.0,JAKOBSEN Emil,Men,Denmark,Handball
Silver Medal,2,00:00.0,LANDIN Magnus,Men,Denmark,Handball
Silver Medal,2,00:00.0,LANDIN Niklas,Men,Denmark,Handball
Silver Medal,2,00:00.0,MENSAH Mads,Men,Denmark,Handball
Silver Medal,2,00:00.0,MOELLGAARD Henrik,Men,Denmark,Handball
Silver Medal,2,00:00.0,OLSEN Morten,Men,Denmark,Handball
Silver Medal,2,00:00.0,SAUGSTRUP Magnus,Men,Denmark,Handball
Silver Medal,2,00:00.0,SVAN Lasse,Men,Denmark,Handball
Silver Medal,2,00:00.0,TOFT HANSEN Henrik,Men,Denmark,Handball
Silver Medal,2,00:00.0,HANSEN Mikkel,Men,Denmark,Handball
Silver Medal,2,00:00.0,MOELLER Kevin,Men,Denmark,Handball
Bronze Medal,3,00:00.0,GARCIA ROBLEDO Antonio,Men,Spain,Handball
Bronze Medal,3,00:00.0,GOMEZ ABELLO Aleix,Men,Spain,Handball
Bronze Medal,3,00:00.0,CORRALES RODAL Rodrigo,Men,Spain,Handball
Bronze Medal,3,00:00.0,MAQUEDA PENO Jorge,Men,Spain,Handball
Bronze Medal,3,00:00.0,SOLE SALA Ferran,Men,Spain,Handball
Bronze Medal,3,00:00.0,PEREZ de VARGAS MORENO Gonzalo,Men,Spain,Handball
Bronze Medal,3,00:00.0,DUJSHEBAEV DOVICHEBAEVA Alex,Men,Spain,Handball
Bronze Medal,3,00:00.0,FIGUERAS TREJO Adrian,Men,Spain,Handball
Bronze Medal,3,00:00.0,MORROS de ARGILA Viran,Men,Spain,Handball
Bronze Medal,3,00:00.0,ENTRERRIOS RODRIGUEZ Raul,Men,Spain,Handball
Bronze Medal,3,00:00.0,GURBINDO MARTINEZ Eduardo,Men,Spain,Handball
Bronze Medal,3,00:00.0,SARMIENTO MELIAN Daniel,Men,Spain,Handball
Bronze Medal,3,00:00.0,SANCHEZ-MIGALLON NARANJO Miguel,Men,Spain,Handball
Bronze Medal,3,00:00.0,FERNANDEZ PEREZ Angel,Men,Spain,Handball
Bronze Medal,3,00:00.0,AGUINAGALDE AQUIZU Julen,Men,Spain,Handball
Bronze Medal,3,00:00.0,GUARDIOLA VILLAPLANA Gedeon,Men,Spain,Handball
Gold Medal,1,00:00.0,GANJZADEH Sajad,Men's Kumite +75kg,Islamic Republic of Iran,Karate
Silver Medal,2,00:00.0,HAMEDI Tareg,Men's Kumite +75kg,Saudi Arabia,Karate
Bronze Medal,3,00:00.0,ARAGA Ryutaro,Men's Kumite +75kg,Japan,Karate
Bronze Medal,3,00:00.0,AKTAS Ugur,Men's Kumite +75kg,Turkey,Karate
Gold Medal,1,00:00.0,ABDELAZIZ Feryal,Women's Kumite +61kg,Egypt,Karate
Silver Medal,2,00:00.0,ZARETSKA Iryna,Women's Kumite +61kg,Azerbaijan,Karate
Bronze Medal,3,00:00.0,GONG Li,Women's Kumite +61kg,People's Republic of China,Karate
Bronze Medal,3,00:00.0,BERULTSEVA Sofya,Women's Kumite +61kg,Kazakhstan,Karate
Gold Medal,1,00:00.0,CHOONG Joseph,Men's Individual,Great Britain,Modern Pentathlon
Silver Medal,2,00:00.0,ELGENDY Ahmed,Men's Individual,Egypt,Modern Pentathlon
Bronze Medal,3,00:00.0,JUN Woongtae,Men's Individual,Republic of Korea,Modern Pentathlon
Gold Medal,1,00:00.0,ASHRAM Linoy,Individual All-Around,Israel,Rhythmic Gymnastics
Silver Medal,2,00:00.0,AVERINA Dina,Individual All-Around,ROC,Rhythmic Gymnastics
Bronze Medal,3,00:00.0,HARNASKO Alina,Individual All-Around,Belarus,Rhythmic Gymnastics
Gold Medal,1,00:00.0,le GOFF Nicolas,Men,France,Volleyball
Gold Medal,1,00:00.0,CHINENYEZE Barthelemy,Men,France,Volleyball
Gold Medal,1,00:00.0,BOYER Stephen,Men,France,Volleyball
Gold Medal,1,00:00.0,BRIZARD Antoine,Men,France,Volleyball
Gold Medal,1,00:00.0,BULTOR Daryl,Men,France,Volleyball
Gold Medal,1,00:00.0,CLEVENOT Trevor,Men,France,Volleyball
Gold Medal,1,00:00.0,GREBENNIKOV Jenia,Men,France,Volleyball
Gold Medal,1,00:00.0,LOUATI Yacine,Men,France,Volleyball
Gold Medal,1,00:00.0,NGAPETH Earvin,Men,France,Volleyball
Gold Medal,1,00:00.0,PATRY Jean,Men,France,Volleyball
Gold Medal,1,00:00.0,TILLIE Kevin,Men,France,Volleyball
Gold Medal,1,00:00.0,TONIUTTI Benjamin,Men,France,Volleyball
Silver Medal,2,00:00.0,KOBZAR Igor,Men,ROC,Volleyball
Silver Medal,2,00:00.0,PANKOV Pavel,Men,ROC,Volleyball
Silver Medal,2,00:00.0,VOLVICH Artem,Men,ROC,Volleyball
Silver Medal,2,00:00.0,KURKAEV Ilyas,Men,ROC,Volleyball
Silver Medal,2,00:00.0,IAKOVLEV Ivan,Men,ROC,Volleyball
Silver Medal,2,00:00.0,KLIUKA Egor,Men,ROC,Volleyball
Silver Medal,2,00:00.0,VOLKOV Dmitry,Men,ROC,Volleyball
Silver Medal,2,00:00.0,PODLESNYKH Yaroslav,Men,ROC,Volleyball
Silver Medal,2,00:00.0,BOGDAN Denis,Men,ROC,Volleyball
Silver Medal,2,00:00.0,MIKHAYLOV Maxim,Men,ROC,Volleyball
Silver Medal,2,00:00.0,POLETAEV Victor,Men,ROC,Volleyball
Silver Medal,2,00:00.0,GOLUBEV Valentin,Men,ROC,Volleyball
Bronze Medal,3,00:00.0,de CECCO Luciano,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,SANCHEZ Matias,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,SOLE Sebastian,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,RAMOS Martin,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,LOSER Agustin,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,PEREYRA Federico,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,LIMA Bruno,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,CONTE Facundo,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,POGLAJEN Cristian,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,PALACIOS Ezequiel,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,MENDEZ Nicolas,Men,Argentina,Volleyball
Bronze Medal,3,00:00.0,DANANI Santiago,Men,Argentina,Volleyball
Gold Medal,1,00:00.0,FISCHER Aria,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,JOHNSON Ashleigh,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,LONGAN Amanda,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,WILLIAMS Alys,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,NEUSHUL Jamie,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,GILCHRIST Kaleigh,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,FISCHER Makenzie,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,MUSSELMAN Madeline,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,SEIDEMANN Melissa,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,STEFFENS Margaret,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,HAUSCHILD Paige,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,FATTAL Rachel,Women,United States of America,Water Polo
Gold Medal,1,00:00.0,HARALABIDIS Stephanie,Women,United States of America,Water Polo
Silver Medal,2,00:00.0,BACH Marta,Women,Spain,Water Polo
Silver Medal,2,00:00.0,ESPAR LLAQUET Anna,Women,Spain,Water Polo
Silver Medal,2,00:00.0,ESPAR LLAQUET Clara,Women,Spain,Water Polo
Silver Medal,2,00:00.0,ESTER RAMOS Laura,Women,Spain,Water Polo
Silver Medal,2,00:00.0,FORCA ARIZA Judith,Women,Spain,Water Polo
Silver Medal,2,00:00.0,GARCIA GODOY Maica,Women,Spain,Water Polo
Silver Medal,2,00:00.0,GONZALEZ LOPEZ Irene,Women,Spain,Water Polo
Silver Medal,2,00:00.0,LEITON ARRONES Paula,Women,Spain,Water Polo
Silver Medal,2,00:00.0,ORTIZ Bea,Women,Spain,Water Polo
Silver Medal,2,00:00.0,PENA Pili,Women,Spain,Water Polo
Silver Medal,2,00:00.0,SANCHEZ GONZALEZ Maria Elena,Women,Spain,Water Polo
Silver Medal,2,00:00.0,TARRAGO AYMERICH Roser,Women,Spain,Water Polo
Silver Medal,2,00:00.0,RUIZ Elena,Women,Spain,Water Polo
Bronze Medal,3,00:00.0,GANGL Edina,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,GARDA Krisztina,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,GURISATTI Greta,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,GYONGYOSSY Aniko,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,ILLES Anna,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,KESZTHELYI Rita,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,LEIMETER Dora,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,MAGYARI Alda,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,PARKES Rebecca,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,RYBANSKA Natasa,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,SZILAGYI Dorottya,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,SZUCS Gabriella,Women,Hungary,Water Polo
Bronze Medal,3,00:00.0,VALYI Vanda,Women,Hungary,Water Polo
Gold Medal,1,00:00.0,OTOGURO Takuto,Men's Freestyle 65kg,Japan,Wrestling
Silver Medal,2,00:00.0,ALIYEV Haji,Men's Freestyle 65kg,Azerbaijan,Wrestling
Bronze Medal,3,00:00.0,RASHIDOV Gadzhimurad,Men's Freestyle 65kg,ROC,Wrestling
Bronze Medal,3,00:00.0,BAJRANG Bajrang,Men's Freestyle 65kg,India,Wrestling
Gold Medal,1,00:00.0,SADULAEV Abdulrashid,Men's Freestyle 97kg,ROC,Wrestling
Silver Medal,2,00:00.0,SNYDER Kyle Frederick,Men's Freestyle 97kg,United States of America,Wrestling
Bronze Medal,3,00:00.0,SALAS PEREZ Reineris,Men's Freestyle 97kg,Cuba,Wrestling
Bronze Medal,3,00:00.0,CONYEDO RUANO Abraham de Jesus,Men's Freestyle 97kg,Italy,Wrestling
Gold Medal,1,00:00.0,SUSAKI Yui,Women's Freestyle 50kg,Japan,Wrestling
Silver Medal,2,00:00.0,SUN Yanan,Women's Freestyle 50kg,People's Republic of China,Wrestling
Bronze Medal,3,00:00.0,STADNIK Mariya,Women's Freestyle 50kg,Azerbaijan,Wrestling
Bronze Medal,3,00:00.0,HILDEBRANDT Sarah Ann,Women's Freestyle 50kg,United States of America,Wrestling
Gold Medal,1,00:00.0,KIPCHOGE Eliud,Men's Marathon,Kenya,Athletics
Silver Medal,2,00:00.0,NAGEEYE Abdi,Men's Marathon,Netherlands,Athletics
Bronze Medal,3,00:00.0,ABDI Bashir,Men's Marathon,Belgium,Athletics
Gold Medal,1,00:00.0,ATKINS Ariel,Women,United States of America,Basketball
Gold Medal,1,00:00.0,WILSON A'ja,Women,United States of America,Basketball
Gold Medal,1,00:00.0,GRINER Brittney,Women,United States of America,Basketball
Gold Medal,1,00:00.0,STEWART Breanna,Women,United States of America,Basketball
Gold Medal,1,00:00.0,GRAY Chelsea,Women,United States of America,Basketball
Gold Medal,1,00:00.0,LOYD Jewell,Women,United States of America,Basketball
Gold Medal,1,00:00.0,TAURASI Diana,Women,United States of America,Basketball
Gold Medal,1,00:00.0,BIRD Sue,Women,United States of America,Basketball
Gold Medal,1,00:00.0,DIGGINS Skylar,Women,United States of America,Basketball
Gold Medal,1,00:00.0,FOWLES Sylvia,Women,United States of America,Basketball
Gold Medal,1,00:00.0,CHARLES Tina,Women,United States of America,Basketball
Gold Medal,1,00:00.0,COLLIER Napheesa,Women,United States of America,Basketball
Silver Medal,2,00:00.0,MIYOSHI Naho,Women,Japan,Basketball
Silver Medal,2,00:00.0,TAKADA Maki,Women,Japan,Basketball
Silver Medal,2,00:00.0,MACHIDA Rui,Women,Japan,Basketball
Silver Medal,2,00:00.0,MIYAZAWA Yuki,Women,Japan,Basketball
Silver Medal,2,00:00.0,MOTOHASHI Nako,Women,Japan,Basketball
Silver Medal,2,00:00.0,NAGAOKA Moeko,Women,Japan,Basketball
Silver Medal,2,00:00.0,HAYASHI Saki,Women,Japan,Basketball
Silver Medal,2,00:00.0,MAWULI Evelyn,Women,Japan,Basketball
Silver Medal,2,00:00.0,MIYAZAKI Saori,Women,Japan,Basketball
Silver Medal,2,00:00.0,AKAHO Himawari,Women,Japan,Basketball
Silver Medal,2,00:00.0,OKOYE Monica,Women,Japan,Basketball
Silver Medal,2,00:00.0,TODO Nanako,Women,Japan,Basketball
Bronze Medal,3,00:00.0,FAUTHOUX Marine,Women,France,Basketball
Bronze Medal,3,00:00.0,DUCHET Alix,Women,France,Basketball
Bronze Medal,3,00:00.0,JOHANNES Marine,Women,France,Basketball
Bronze Medal,3,00:00.0,MICHEL Sarah,Women,France,Basketball
Bronze Medal,3,00:00.0,VUKOSAVLJEVIC Valeriane,Women,France,Basketball
Bronze Medal,3,00:00.0,TCHATCHOUANG Diandra,Women,France,Basketball
Bronze Medal,3,00:00.0,MIYEM Endene,Women,France,Basketball
Bronze Medal,3,00:00.0,CHARTEREAU Alexia,Women,France,Basketball
Bronze Medal,3,00:00.0,GRUDA Sandrine,Women,France,Basketball
Bronze Medal,3,00:00.0,RUPERT Iliana,Women,France,Basketball
Bronze Medal,3,00:00.0,CIAK Helena,Women,France,Basketball
Bronze Medal,3,00:00.0,WILLIAMS Gabby,Women,France,Basketball
Gold Medal,1,00:00.0,CRUZ Andy,Men's Light (57-63kg),Cuba,Boxing
Silver Medal,2,00:00.0,DAVIS Keyshawn,Men's Light (57-63kg),United States of America,Boxing
Gold Medal,1,00:00.0,JALOLOV Bakhodir,Men's Super Heavy (+91kg),Uzbekistan,Boxing
Silver Medal,2,00:00.0,TORREZ JR Richard,Men's Super Heavy (+91kg),United States of America,Boxing
Gold Medal,1,00:00.0,HARRINGTON Kellie Anne,Women's Light (57-60kg),Ireland,Boxing
Silver Medal,2,00:00.0,FERREIRA Beatriz,Women's Light (57-60kg),Brazil,Boxing
Gold Medal,1,00:00.0,PRICE Lauren,Women's Middle (69-75kg),Great Britain,Boxing
Silver Medal,2,00:00.0,LI Qian,Women's Middle (69-75kg),People's Republic of China,Boxing
Gold Medal,1,00:00.0,KENNY Jason,Men's Keirin,Great Britain,Cycling Track
Silver Medal,2,00:00.0,AWANG Mohd Azizulhasni,Men's Keirin,Malaysia,Cycling Track
Bronze Medal,3,00:00.0,LAVREYSEN Harrie,Men's Keirin,Netherlands,Cycling Track
Gold Medal,1,00:00.0,VALENTE Jennifer,Women's Omnium,United States of America,Cycling Track
Silver Medal,2,00:00.0,KAJIHARA Yumi,Women's Omnium,Japan,Cycling Track
Bronze Medal,3,00:00.0,WILD Kirsten,Women's Omnium,Netherlands,Cycling Track
Gold Medal,1,00:00.0,MITCHELL Kelsey,Women's Sprint,Canada,Cycling Track
Silver Medal,2,00:00.0,STARIKOVA Olena,Women's Sprint,Ukraine,Cycling Track
Bronze Medal,3,00:00.0,LEE Wai Sze,Women's Sprint,"Hong Kong, China",Cycling Track
Gold Medal,1,00:00.0,EDWIGE Beatrice,Women,France,Handball
Gold Medal,1,00:00.0,NZE MINKO Estelle,Women,France,Handball
Gold Medal,1,00:00.0,LEYNAUD Amandine,Women,France,Handball
Gold Medal,1,00:00.0,DARLEUX Cleopatre,Women,France,Handball
Gold Medal,1,00:00.0,LASSOURCE Coralie,Women,France,Handball
Gold Medal,1,00:00.0,VALENTINI Chloe,Women,France,Handball
Gold Medal,1,00:00.0,FOPPA Pauletta,Women,France,Handball
Gold Medal,1,00:00.0,LACRABERE Alexandra,Women,France,Handball
Gold Medal,1,00:00.0,SERCIEN UGOLIN Oceane,Women,France,Handball
Gold Medal,1,00:00.0,COATANEA Pauline,Women,France,Handball
Gold Medal,1,00:00.0,FLIPPES Laura,Women,France,Handball
Gold Medal,1,00:00.0,DANCETTE Blandine,Women,France,Handball
Gold Medal,1,00:00.0,ZAADI DEUNA Grace,Women,France,Handball
Gold Medal,1,00:00.0,NOCANDY Meline,Women,France,Handball
Gold Medal,1,00:00.0,PINEAU Allison,Women,France,Handball
Gold Medal,1,00:00.0,NIAKATE Kalidiatou,Women,France,Handball
Silver Medal,2,00:00.0,BOBROVNIKOVA Vladlena,Women,ROC,Handball
Silver Medal,2,00:00.0,VEDEKHINA Polina,Women,ROC,Handball
Silver Medal,2,00:00.0,VYAKHIREVA Anna,Women,ROC,Handball
Silver Medal,2,00:00.0,GORSHKOVA Polina,Women,ROC,Handball
